num,cluster,x,y
0,group0,5.262752056,0.605432153
1,group4,5.760663033,5.828549385
2,group4,6.952064991,1.566267133
3,group3,1.183200836,2.453050613
4,group1,-0.362018555,7.102154255
5,group1,-0.20361568,6.371382236
6,group4,6.050916672,6.051767826
7,group4,6.988508701,4.09667635
8,group3,2.746357203,4.321540356
9,group0,3.958473206,-1.276664972
10,group2,-3.116880894,2.732198954
11,group2,-3.44928956,3.065957785
12,group4,7.017157555,3.822699308
13,group1,2.033792257,7.996407032
14,group1,1.109387279,7.917675018
15,group1,-2.712428093,5.495065212
16,group0,3.641475916,2.924393415
17,group3,3.303611279,6.382610321
18,group0,5.128769398,1.333021402
19,group1,0.443516254,5.850429535
20,group1,0.845123529,8.449113846
21,group4,8.061506271,2.122286797
22,group0,4.502130508,-0.967973948
23,group5,-2.949826479,-2.294862032
24,group0,4.254433155,3.141624212
25,group5,-1.203830957,-1.21162343
26,group5,0.015957179,-1.827710748
27,group0,3.428900957,0.72059232
28,group4,7.145514488,4.79714632
29,group3,0.869540513,0.408692092
30,group1,-0.482458204,5.94564867
31,group3,6.992817879,1.115122557
32,group0,3.890266418,1.382798195
33,group1,3.9155128,7.361945629
34,group0,4.043554306,2.38828826
35,group3,0.491268098,2.257709026
36,group5,-0.195768625,-3.376686096
37,group3,2.768342733,5.042038918
38,group0,1.89391911,-3.146491766
39,group0,3.471101522,2.37496686
40,group4,4.96848774,6.439282894
41,group0,4.024402142,0.957917571
42,group5,-2.56228447,-2.355631113
43,group1,3.260400534,8.051812172
44,group3,6.928489208,0.79642576
45,group0,4.753892899,2.536345959
46,group5,-1.004757762,-2.320152521
47,group1,-0.548181653,7.418715477
48,group3,1.044885159,0.898093939
49,group0,5.046733856,0.871287048
50,group5,-2.06320262,-1.079536676
51,group1,-2.531394005,5.812457085
52,group2,-2.032117128,2.248780251
53,group3,5.406227589,-1.672221661
54,group0,2.700792551,-2.979526997
55,group4,6.112999916,4.958641529
56,group5,-2.824503899,-1.08160162
57,group4,6.806959629,-1.304915786
58,group1,-2.214055777,5.968870163
59,group1,3.388789892,6.670143604
60,group2,-1.542738676,1.963399768
61,group3,1.559546709,2.409454346
62,group5,-1.84444344,-2.26508975
63,group4,4.636603832,3.484296083
64,group4,7.931268215,1.912000656
65,group2,-2.45302248,1.75602746
66,group2,-2.404411078,3.836151361
67,group1,1.207686663,6.817334175
68,group1,3.536627293,7.464066982
69,group1,-1.390731454,5.133056164
70,group3,2.930838585,3.038028955
71,group5,-0.591453016,-3.069066763
72,group1,1.528114915,8.547950745
73,group4,6.529821873,3.341799974
74,group3,1.995824933,-0.311899632
75,group0,3.425753355,0.155915946
76,group3,0.898528934,1.671583772
77,group1,-1.125838041,7.310619354
78,group3,1.899758816,3.372869968
79,group5,0.164250866,-3.521154642
80,group0,3.110815048,-1.640755653
81,group0,2.915099859,-1.479211807
82,group5,1.064551234,-3.136125088
83,group1,0.588257313,7.286641121
84,group3,5.919424534,-0.512891829
85,group2,-1.684271574,0.533010006
86,group1,2.143802881,7.323579311
87,group0,3.230010271,-0.197342232
88,group4,6.203687191,1.795404792
89,group3,0.072033867,1.96134758
90,group2,-2.406796694,1.468640327
91,group2,-2.500048399,3.33847189
92,group3,3.543594599,4.897773743
93,group3,0.447933197,1.438203931
94,group0,2.205027342,-1.794823408
95,group1,1.372487783,8.54132843
96,group5,-2.770738602,-2.880553246
97,group5,-1.361577034,-1.07809031
98,group1,-1.444769025,4.801699162
99,group1,-0.627413809,6.828696728